"Date","Price","Open","High","Low","Vol.","Change %"
"2008-11-07","931.00","907.40","931.50","906.90","","2.88%"
"2008-11-06","904.90","952.40","952.40","899.70","","-5.03%"
"2008-11-05","952.80","1,001.80","1,001.80","949.90","","-5.27%"
"2008-11-04","1,005.80","971.30","1,007.50","971.30","","4.09%"
"2008-11-03","966.30","968.70","975.60","958.80","","-0.26%"
"2008-10-31","968.80","953.10","984.40","944.60","","1.54%"
"2008-10-30","954.10","939.40","963.20","928.50","","2.58%"
"2008-10-29","930.10","939.50","970.00","922.30","","-1.11%"
"2008-10-28","940.50","848.90","940.50","845.30","","10.79%"
"2008-10-27","848.90","874.30","893.80","846.80","","-3.18%"
